number,team1,team2,acquisition1,acquisition2,date
130,Alex,Sasha,acquired 1st Round Pick (5th Overall),"acquired 2018 2nd Round Pick, 2018 3rd Round Pick, 2018 4th Round Pick, 2019 4th Round Pick, and 2020 5th Round Pick",8/18/2018
131,Sasha,Sarah,"acquired M.Necas, D.Stepan, and C.Fowler","acquired M.Domi, T.Johnson, C.Glass, and 2018 5th Round Pick",8/18/2018
132,Pasha,Jon,acquired R.Johansen,acquired K.Lebanc and 2019 3rd Round Pick,8/18/2018
133,Pasha,Sarah,acquired E.Haula,acquired C.Sheary and 2018 7th Round Pick,8/18/2018
134,Sasha,Nima,acquired M.Backlund and T.Bozak,"acquired B.Perlini, A.Gaudette, and S.Varlamov",8/22/2018
135,Pasha,Sasha,acquired J.Anderson,acquired D.Orlov,8/23/2018
136,Pasha,Nima,acquired D.Brassard,"acquired N.Ritchie, V.Namestnikov, and a 2019 Conditional 7th Round Pick (turns into a 6th if Brassard scores 50 or more points)",10/5/2018
137,Nima ,Tobi,"acquired S.Couturier, N.Dobson, and 2020 Conditional 3rd Round Pick (turns into a 4th Round Pick if Dobson plays 9 games in 2019-2020)",acquired S.Varlamov,12/3/2018
138,Jon,Pasha,acquired D.Keith,acquired 2019 3rd Round Pick (Originally Tobi's),12/26/2018
139,Jon,Sasha,acquired S.Girard,acquired K.Fiala,12/26/2018
140,Sarah,Pasha,"acquired R.Ellis, F.Chytil, and 2019 6th Round Pick",acquired M.Zibanejad,12/29/2018
141,Jon,Nima,acquired N.Ritchie,acquired A.Mantha and a 2019 4th Round Pick,2/2/2019
142,Tobi,Pasha,acquired M.Pacioretty and 2019 4th Round Pick (Orginally Sasha's),"acquired P.Hornqvist, J.Manson, and 2019 2nd Round Pick",2/2/2019
143,Sasha,Jordan,acquired V.Arvidsson and 2019 2nd Round Pick,acquired K.Letang,2/2/2019
144,Tobi,Nima,acquired G.Nyqvist ,acquired J.Zucker,2/2/2019
145,Tobi,Sasha,acquired M.Backlund ,acquired R.Smith,2/2/2019
146,Sasha,Pasha,"acquired B.Saad, A.Nylander, and 2020 5th Round Pick",acquired S.Vatanen and S.Steel,2/3/2019
147,Pasha,Jon,acquired K.Shattenkirk,acquired S.Vatanen,7/14/2019
148,Nima,Pasha,acquired R.Fabbri and J.Manson,acquired 2019 6th Round Pick (Originally Sasha's),7/30/2019
149,Sasha,Jordan,"acquired T.Seguin, I.Provorov, C.Mittelstadt, and 2019 1st Round Pick (8th overall)",acquired E.Pettersson and 2019 1st Round Pick (3rd overall),8/1/2019
150,Sarah,Jon,acquired E.Karlsson and 2019 7th Round Pick,"acquired N.Gusev, T.Konecny, and 2019 2nd Round Pick",8/11/2019
151,Nima,Sasha,acquired C.Hutton,acquired 2019 4th Round Pick (orginally Jon's) and 2020 4th Round Pick,8/13/2019
152,Jon,Jordan,acquired 2019 3rd Round Pick (originally Sarah's) and 2021 3rd Round Pick,acquired 2019 2nd Round Pick,8/14/2019
153,Jon,Pasha,"acquired J.Faulk, D.Cholowski, and 2021 3rd Round Pick",acquired J.Drouin,8/16/2019
154,Pasha,Nima,acquired A.Mantha,acquired R.Johansen and 2020 4th Round Pick,8/16/2019
155,Sasha,Jordan,acquired 2019 3rd Round Pick (originally Sasha's) and 2019 5th Round Pick,acquired 2019 2nd Round Pick,8/16/2019
156,Pasha,Alex,acquired J.Gardiner,acquired 2019 2nd Round Pick (originally Tobi's),8/16/2019
157,Sasha,Tobi,acquired R.Poehling,acquired 2019 4th Round Pick,8/16/2019
158,Pasha,Jordan,acquired 2019 6th Round Pick (originally Sasha's) and 2020 6th Round Pick,acquired 2019 6th Round Pick,8/16/2019
159,Pasha,Alex,acquired M.Hoffman,"acquired S.Steel, 2020 3rd Round Pick, and 2021 4th Round Pick",8/17/2019
160,Tobias,Alex,"acquired A.Pietrangelo, J.Toews, and 2020 4th Round Pick","acquired B.Hayton, D.Fabbro, 2020 2nd Round Pick, and 2020 5th Round Pick",8/17/2019
161,Jordan,Sarah,"acquired M.Heiskanen, B.Byram, and Conditional 2020 2nd Rounder (if Heiskanen fails to score 35+ points otherwise pick turns into 2021 3rd Round Pick)","acquired A.Panarin, K.Yamamoto, and H.Jokiharju",8/17/2019
162,Pasha,Alex,acquired D.Strome,acquired J.Drouin and 2021 2nd Round Pick,8/17/2019
163,Alex,Jon,"acquired N.Hanifin, 2020 2nd Round Pick, and 2021 2nd Round Pick",acquired R.Ristolainen and 2020 3rd Round Pick,8/18/2019
164,Sasha,Pasha,"acquired Z.Werenski, B.Schenn, and 2021 1st Round Pick",acquired D.Hamilton,8/18/2019
165,Nima,Pasha,acquired T.Toffoli,acquired 2020 3rd Round Pick,09/04/2019
166,Tobi,Sasha,"acquired E.Kane, R.Smith, and N.Patrick","acquired 2020 1st Round Pick, N.Suzuki, V.Olofsson, M.Ekholm, and W.Simmonds",10/21/2019
167,Jon,Jordan,acquired O.Ekman-Larsson,acquired J.Benn,11/2/2019
168,Nima,Sasha,acquired R.Thomas and T.Bertuzzi,acquired J.Marchessault,12/5/2019
169,Pasha,Sasha,acquired K.Fiala and 2020 5th Round Pick (orginally Alex's),acquired C.McAvoy,12/8/2019
170,Alex,Tobias,acquired C.McMichael,acquired 2021 3rd Round Pick and 2021 7th Round Pick,12/10/2019
171,Pasha,Nima,acquired D.Perron and 2020 6th Round Pick,acquired N.Niederreiter and J.Anderson,2/2/2020
172,Pasha,Sarah,acquired A.Lee,acquired A.Burakovsky,2/2/2020
173,Sasha,Pasha,acquired P.Hornqvist,acquired 2020 5th Round Pick,2/2/2020
174,Alex,Jordan,acquired T.Smith and 2020 2nd Round Pick,acquired P.Mrazek,2/2/2020
